The Sugarhill Gang,sugarhill,dang,hippie,lover,diggy,boogie,kemosabi,hank,ysee,chicka,hah,gee,di,motel,helluva,dibbie,ahhahaha,squaws,whistle,viciously,buttered,throwdown,delight,kays,pow,diddy,spankin,boppa,yooooo,ello,youme,sasoons,mocassin,hahs,ahahahah,rhythm,haa,hoo,definite,custer,kaopectate,farrah,scoobie,fawcett,hoppa,inn,ah,function,imp,cassanova
U-God,hillside,kj,wu,inf,vets,warrior,shaolin,devious,supa,scramblers,rza,golden,brah,livewire,cries,swell,crumbling,mothafka,spines,bonified,techno,unfolded,conivers,fergusons,flusty,acapell,hatching,stumpin,hatchin,staten,jody,pleasure,redemption,chippin,nothins,trynna,lane,ratchets,copters,bandaged,sharpshooter,halley,battlestar,dusty,sponge,ruck,showers,36,uey,leatha
Wale,wale,moscato,snapback,shawty,flyer,pposed,ballin,roscoe,foamposites,pg,ambition,rotation,dc,satisfactions,dmv,existing,vanity,clappers,gga,tryna,ggas,sabotage,alaykum,salamu,trance,nike,yuh,lyk,lebrons,jordans,seinfeld,blocka,effort,endure,homer,mmg,aahs,ck,contemplate,nigga,spikes,niggas,bittersweet,youuuuuu,bakin,beee,anyways,resented,stroke,blunts
Will Smith,jeff,jazzy,summertime,swagga,fp,tra,nod,nana,jaden,charlie,prince,knox,millennium,jeffs,unwind,heyyyyyy,mib,deejays,jiggy,transformer,shadow,da,waz,limo,deejay,alpine,jada,na,hype,besito,gizz,mellie,digga,defenders,yi,tig,bettys,bedsty,nuthin,suits,cruisin,ra,potna,willow,bouncin,twinkle,jj,jl,aaooww,loretta
Wiz Khalifa,khalifa,moola,taylor,guap,feddy,errday,ggas,wiz,gga,medicated,pittsburgh,ink,kush,swag,purp,planes,yeeaaa,shawty,wizzle,spitta,gang,nigguh,smoking,tryna,doobies,taylors,weed,widers,champagne,hoes,grind,niggas,cus,youngn,ck,plane,yellow,accapella,yeaa,hella,drift,taylored,yup,dank,repping,shit,clicquot,youngin,ziploc,chu
Wu-Tang Clan,wu,tang,pum,rza,clack,gunll,shaolin,meth,ich,boxcutter,acabo,inspectah,ruckus,sword,clan,rae,dnn,youknowhatimean,method,deini,gza,ghostface,slum,niggas,plo,allahs,raekwon,tical,und,yourz,embry,chao,killa,aiyyo,yaknowhatimsayin,masta,wallys,swarm,click,killah,darts,oshkosh,shit,poi,rum,cypher,geniusgza,killarmy,36th,bethlehem
Wyclef Jean,wyclef,oui,clef,ou,nan,pou,oa,yon,gen,diallo,bidi,refugee,bleu,ng,moun,lan,si,se,guantanamera,suk,li,qui,refugees,zam,pa,pas,bom,rouge,quand,masquerade,et,pjs,gens,carnival,sa,elected,di,jean,te,dippy,november,ki,huhhh,cri,fugee,china,mera,dong,pase,woy
"Big Sean,",leone,guap,ambiguous,sean,mula,sierra,closet,stunting,errthang,threesome,ck,hallelujah,chardonnay,muthafucker,shouldve,ablaze,tch,gga,workaholic,bloop,wobble,finna,prez,cking,bittersweet,tryna,vacay,boldy,gaye,fck,detroit,bullshittin,cka,dividing,goddamned,switched,wrongs,401k,ggas,bitch,airhead,getcha,boi,imma,iiiii,ff,errybody,ye,drowsy,honestly
Bone Thugs-N-Harmony,krayzie,layzie,bizzy,murda,thugstas,clair,thug,ruggish,thuggish,cleveland,thugsta,bone,harmony,pap,trues,thugs,mo,tha,weedman,nigga,wid,thuggin,rott,niggas,eazy,ouija,playa,hation,buckin,killa,ia,redrum,fk,souljah,milimeter,crossroads,guage,flesh,bailin,gauge,scrapping,yahweh,killas,leatherface,getcha,beelzebub,bloody,smug,clog,warriors
Bow Wow,yippie,wow,shawty,bow,weezy,kno,wooo,jd,hooo,wizzle,floo,stuntin,moss,flirt,patna,shad,ymcmb,ohio,g3,gurl,lossing,wizzles,soulja,bw,ck,irresistible,columbus,lamborgini,nanana,shawtie,crunk,lamborghini,uhu,needa,tryina,wows,riddin,lb,lambo,wat,celebrations,bt,bla,playboy,bedroom,sod,stunt,cmb,paddy,lil
Chance the Rapper,na,zan,cigarettes,cocoa,pusha,druggy,fritz,scummy,hoodies,kisses,bino,hubby,igh,acid,dank,paranoia,juice,woodgrain,lickety,stank,tagging,motha,jam,gripping,wiley,cheeses,pitter,muh,chauffeurs,weighted,butter,satin,patter,lowkey,potty,lucy,nitty,suspended,everythings,ken,dripping,bennett,buenos,twerk,bummy,samuel,goodbyes,ooh,nobodys,yelling
Chingy,chingy,thurr,gurlz,gushy,holidae,cass,git,hurr,clubbin,gib,herre,neeeeed,herr,stickshift,stirr,lemme,numbered,tha,yahh,26s,yu,stl,daum,ling,18s,dtp,superhero,ching,flo,husslin,crome,platta,dizzle,dirrty,leading,friendsand,mah,jackpot,luda,curr,shellz,shhh,swag,490,lettting,othas,ratin,louis,ditches,representin
Common,erotica,alllllll,geto,com,digga,dang,looooong,common,assata,canibus,allllll,suga,heidi,blooded,questions,yoo,faithful,thelonious,studs,doo,misunderstood,squared,bilal,luh,travelin,microphonist,gis,cbs,chi,69,ca,chicago,blige,loneliness,broads,gramps,frantic,meeny,poetrys,rugged,enlight,mountin,accuse,guru,144,unh,ohhh,petey,rashid,commons
D12,d12,kuniva,bizarre,bugz,kon,instigator,artis,kum,swifty,dozen,pitts,eminem,feudin,compares,denaun,salsa,obie,fuck,barbershop,mcvay,lootin,somein,shit,marshall,downers,uppers,trice,bitch,whoevers,obies,pyscho,bizzy,pills,detroit,weaponry,weapons,runyon,andrews,rondell,mushroom,mcveigh,brigade,tit,carcus,fuckers,derelicts,dawg,unfit,band,shady
Eminem,eminem,hailie,shady,obie,marshall,mathers,chika,chiki,shadys,slim,chicka,dre,313,denaun,trice,amityville,maxine,shit,fuck,dah,murda,trailer,dum,fack,bagpipes,goodbye,valium,superman,uncontrollably,mushrooms,trailor,aftermath,kyu,kim,bitch,susan,detroit,puke,dres,slit,eon,murray,accidentally,d12,fk,fucking,doc,stan,dungeon,slut
J Dilla,dilla,hut,simpson,dill,mcnasty,ghe,tto,crushin,detroit,termanology,jay,ifeel,uggh,uhh,frank,kat,dank,numerology,enslavin,tigga,ohhhh,j,pete,scratched,aaa,vil,dee,nitty,beeda,humm,flynn,whattup,echoes,somn,alfa,specialized,bellys,souffle,rasheed,yup,deezy,wildstyle,nick,shores,ruff,wobbly,stimulatin,beet,niggas,economy
Kanye West,kanye,gwaan,bah,kanyes,whack,roc,igh,yeezy,amazing,lockdown,chi,dah,workout,graveshift,ye,ggas,phi,gga,ck,weeping,ridiculous,dior,apollonia,flashing,la,kanyeezy,heartless,bittersweet,digger,isotoners,whoaa,timeless,mourning,vuitton,vandross,kweli,aiiyo,robocop,extravaganza,edward,bizzerk,li,kan,spaceship,hov,shit,sum,lambo,homie,izzo
Lupe Fiasco,lu,lupe,coolest,fiasco,gadget,intruder,donor,halos,hydraulic,hello,experiment,hustla,midwest,meanest,paused,barge,lus,flapping,tha,aiyy,cornel,hustlas,ff,nigas,uncool,ital,wut,weapon,brim,wide,lamborghini,beamin,cleanest,fiendish,niggs,greasy,rawlings,fiascos,starry,slr,dangers,sympathy,chicago,oblivion,scars,misunderstood,gota,sideways,47s,genious
Nelly,andele,nelly,massachusetts,zoop,ei,ohhhhhhhhhhhhhh,shawty,maryland,derrty,liv,tics,erynight,lunatics,thicky,shimmy,icey,herre,ey,whoop,ciroc,eh,lawd,iz,tippin,hurr,vokal,na,murph,layd,errtime,spiffy,mami,murphy,5000,dontcha,lemonade,midwest,100k,merry,yaseewhatimsayin,cookie,digit,buh,st,applebottom,nel,foreva,mon,louis,couse
Twista,twista,hopeful,tung,mobsta,tha,mobstas,badunkadunk,liffy,chi,w,legit,ballaz,stalone,stokes,twork,elites,wick,bogus,birthday,fes,dro,ballers,nigga,scummy,jihad,bennie,mob,2012,hoe,na,funky,24s,shit,twistas,hypes,lyrical,onnnn,shawty,yaah,niggas,midwest,bucked,vandross,finna,fk,rhythm,rodey,balla,hussle,alright
2 Chainz,chainz,agra,yuck,extremely,mane,countdown,strippers,luv,realest,dawg,slanging,rubberbands,ee,vi,mein,ye,choppa,youtube,ko,plethora,whiffing,pitching,tity,shawty,birthday,36,bunkin,twerk,employee,riot,trap,muhfucking,southside,cannonball,stunt,oz,codeine,snakeskin,tru,ceiling,chopper,soda,fork,ridin,mothafucka,wattup,nigga,styrofoam,tunechi,alexis
2 Live Crew,marquis,mixx,ch,luke,martinez,sucky,hoochie,bch,skeet,treach,pus,diddy,wah,bart,puy,sy,li,aaight,banned,punani,usa,doo,whew,kisha,booty,fuck,monica,juanita,pussy,dk,sally,lukes,medusa,heeeere,skyywalker,yakety,pussys,dominating,psk,hilary,etc,bitch,dick,heyy,heyyy,dum,vert,demonstrating,raggedy,alum
Arrested Development,dreads,wendal,serpent,raining,revolution,wag,honeymoon,dawn,washed,prays,fishin,headliner,sistas,snazzy,mamas,persons,religion,allowing,horseshoes,africas,pebble,resides,altar,tennessee,kwesi,consciously,shore,forgiving,oceans,uncertainty,thrusted,conscious,acres,landlord,natural,relinquish,brotha,baba,guided,yaah,bol,kneelin,political,passive,minding,probally,development,shores,baptist,enhances
Big K.R.I.T.,rotating,chugga,sub,tires,sprinkling,eq,krit,2000,coated,lows,highs,swirl,shinning,thirsting,slamming,300,reclining,folk,drawing,reminiscence,zac,gripping,bowling,locomotive,choo,compelling,claims,chop,machine,ck,someday,slab,dreamin,marinate,shawty,mississippi,hometown,inbetween,neva,overlooked,stomping,olds,doubters,sacrificed,grain,overqualified,motherly,confucius,acl,fuchsia
Chamillionaire,chamillitary,koopa,chamillionaire,chamillion,mixtape,mayne,messiah,tippin,swangs,cham,swishahouse,throwed,mayn,cand,gyeah,fif,revenge,lizard,texas,creepin,mixtapes,dike,ehh,smallz,swangers,plex,murda,slab,4s,fasho,houston,screens,lac,screwed,na,thoed,screw,trill,tryna,whoooa,ridin,hol,oppurtunity,swang,tha,slowed,biness,someing,gripping,gimmick
Childish Gambino,gambino,betchya,childish,oakland,hoodie,glover,ucla,needed,andrew,weird,indie,rainbows,donald,whiskey,culdesac,facebook,boi,elroy,recluse,hipster,shit,asian,iphone,phat,ebola,heartbeat,nerdy,apc,fey,smarty,hollerin,swag,fuck,swagger,snacks,turds,reference,brrrr,bambino,mapquest,flier,rihanna,sunshine,texting,backpacker,saturn,asthmatic,turd,clockers,grind
Clipse,trak,clipse,pusha,yuh,kis,malice,hmmm,mek,di,neptunes,grindin,cot,na,cha,snitching,kardinal,gangstafied,whatcha,blah,unfamiliar,mi,trill,malicious,din,lalalalalalalalalala,inna,definin,champion,lining,hoooo,cl,pharreal,virginia,ultimate,counseling,va,sposta,liva,virginias,pharrell,twinkie,par,mueller,popeyes,sl,ka,ma,tryna,nigga,obnoxious
Geto Boys,geto,bushwick,muthafuckas,fk,gb,willie,motherfkin,ward,wuz,muthafkin,facemob,scarface,shay,motherfkers,motherfuckin,motherfker,shit,whassup,5th,niggas,nigga,fuck,assassin,ge,mutherfuckin,bitch,goddamn,fkin,muthafkas,ba,judicial,lunatic,brad,wut,mayn,sheila,wunt,motherfuckers,hoe,muthafuckin,gangsta,bitches,kkk,niggero,muthafka,goddamned,cathy,ganksta,johny,muthafucka
Goodie Mob,gipp,inshallah,swats,goodie,wid,fie,southwest,damm,shawty,sexual,tha,beavers,fiesta,nigger,instinct,everythang,trill,moma,cutty,peekin,atlantas,khujo,ild,obligations,pallbearer,godly,chocolate,clampett,flutes,mo,marietta,martinique,crappin,mothering,fashioned,mundo,squeal,ghetto,bankhead,una,chu,dungeon,unscathed,cascade,hots,limitations,touched,cee,brigettes,calhoun
J. Cole,cole,gga,ggas,ville,sh,disgusting,ck,carolina,runaway,cking,trynna,niggs,tryna,farewell,hov,nigga,niggas,yea,shit,finna,simba,ey,chaining,dolla,hollin,trailer,elite,dadada,nc,dat,hoes,n,jermaine,hoopin,sinner,nigg,bitch,ay,idols,therapist,purdy,stairwell,shawty,fuck,daddys,f,aye,lebron,muthaf,splurged
Jermaine Dupri,jd,jermaine,confessions,na,dupri,montreal,ooooooooooh,monin,getcha,hardball,chi,bally,supafly,heezy,brat,playas,tyrese,maaaan,hadda,mbp,clump,jagged,roamin,worn,tweezy,gleam,sweetheart,velvet,atl,ev,strokers,wristwear,tasy,dizzog,bizzo,xscape,zane,dogg,atlanta,thumps,destination,strike,nate,collin,snoop,ay,def,sumpin,goosebumps,yum
Juvenile,solja,nolia,mamma,magnolia,mannie,tha,juvenile,azz,juve,poop,lotion,utp,bauds,juvie,boyz,wodie,march,meyer,nigga,mf,bg,shiggedy,juv,vl,upt,cmr,ward,turk,223s,ha,chopper,uptown,motion,calio,ta,niggas,rees,tc,lil,soulja,leanin,valence,rag,oscar,girbaud,sets,bitch,bruh,wootay,lio
Lil Wayne,weezy,swagga,wayne,wee,shawty,carter,hollygrove,birdman,tha,gga,ck,gudda,tunechi,ssy,nigga,bitch,mula,kno,yeaa,cking,stunna,bedrock,stuntin,orleans,tch,trippy,ceilings,dat,da,f,fuck,syrup,yeahya,ggas,cita,injection,lollipop,sh,yea,jiggy,mullah,juelz,maine,wut,pussy,cmr,waynes,nuthing,chopper,lil
Ludacris,luda,ludacris,icky,miney,dtp,y0u,meenie,eenie,runaway,gether,eet,shawna,yep,sg,aqain,disturbing,ludas,ohhhh,cupids,yum,lova,hello,virgo,hoe,clause,youz,valle,ur,gim,tha,worried,disturbin,fatty,index,ey,overall,ayyyy,ik,georgia,285,sunglasses,ize,whoop,shawnna,cris,friendz,0,nigga,hoes,watchya
Master P,tru,ridas,silkk,limit,whodi,dank,soldiers,nigga,richmond,p,ward,brah,rowdy,calliope,niggas,chea,wodie,mystikal,shocker,slangin,boom,diggi,dealas,orleans,sonya,tha,mp,yaknowhatimsayin,na,girlz,bitch,killas,fk,daytons,3rd,thangs,hut,uhhhhh,gangsta,burbans,whoadie,thug,miller,tah,hush,tat,souljas,wanta,kenny,muthafuckin
Missy Elliott,missy,swat,elliott,timbaland,gainst,supa,misdemeanor,mommy,wah,busa,fricky,yah,dun,dutch,badman,dupa,rrr,getcha,weave,dats,izzy,ooooooh,daaaa,doo,ly,donk,sht,tres,di,temptation,jeeps,sprewells,singing,reverse,thanga,dat,tootie,visas,elliot,butterflies,mafucka,zah,kizzy,timb,nuh,cmon,ta,misdemeanors,puba,toot
Mystikal,mystikal,stutter,aaw,throwed,replying,chea,murderer,hemp,bitch,stu,yaah,nigga,fuck,12th,whomp,handstand,silkk,aggressive,whutchu,shit,tha,tittie,thirteen,fabulous,ward,niggas,gumbo,muthafuckin,limit,whodi,tommorrow,tyler,talker,wsup,violator,fuckin,tarantula,whatd,tweeter,shocker,wu,yearn,boot,ain,tt,chall,orleans,boisterous,concerts,braids
Outkast,ode,boi,outkast,andre,dungeon,poo,trendsetters,goodie,ooo,gipp,uppin,df,drankin,3000,kast,valentines,oooo,hootie,stankonia,pointe,tash,bah,wid,bankhead,calhoun,godly,woo,ooooh,sideline,overheated,de,decatur,caroline,cadillac,git,bowtie,swats,stank,southern,sasha,hoo,roses,erb,oooooo,upits,malignant,hoez,ver,fowl,mighty
Pusha T,bod,quiting,kilos,gga,unapologetic,buzzards,unpolished,louboutins,brighten,yeh,exclamation,pusha,ye,boards,birdseye,saleen,entrada,louboutin,thiss,gull,burke,liva,commes,piata,cking,pegged,jaden,serenade,niggers,alas,balenciaga,overs,spraying,crane,nother,dries,tryna,flair,givenchy,dichotomy,slowing,dealer,tivo,regrets,mascot,nemo,glitters,nigga,doubles,sunk
Rick Ross,touchn,ross,maybach,ev,speedin,chevy,hustlin,meech,hitcha,trilla,bosss,niqqa,ggas,suspects,billionaire,khaled,yayo,sunglasses,gga,tha,gger,nigga,boss,reppin,mjg,hoover,usual,rick,dade,summers,laa,woah,intricate,rozay,ricky,sophisticated,bitch,reebok,niggas,ridin,150,mistakes,trill,forgives,brisco,taxin,da,nutin,ro,fuck
Scarface,scarface,southside,someday,brad,nigga,niggas,muthafuckin,shit,fuck,outchea,facemob,mary,muthafucka,diary,maryjane,motherfuckin,bitch,sa,ward,hmmm,muthafuckas,skrilla,mutherfuckin,finna,ryde,yuk,mutha,krunch,stupider,agg,stead,uknowmsayin,tela,motherfucker,mafia,dogg,mayn,gangsta,snitch,ble,thier,holloway,shife,brads,funky,hoes,overnight,youknowmsayin,flippers,mam
Three 6 Mafia,lolli,memphis,mafia,ie,scarecrow,crunchy,infamous,igh,barrin,juicy,paul,mane,hypnotize,hoe,kaze,koop,prophet,bitch,bud,6,tha,nigga,triple,heffer,wha,quitta,mayn,mystic,fkin,fk,hitta,woow,dat,haven,hoes,playa,fking,bitches,klan,niggas,blac,da,hatas,wit,wid,spinners,characters,killas,posse,killa
Timbaland,timbaland,magoo,maganoo,ching,marchin,timothy,wayy,timbo,miley,fri,wah,doh,missy,va,jumps,mag,undertow,yeahh,bling,digga,tim,diggi,perks,considerate,nota,despised,keri,bubba,izza,hua,bats,ginuwine,ese,git,richter,oooh,aah,boogie,ficky,sought,crunk,pyar,hilson,maniac,tha,da,dreamt,rumours,esco,timmy
T.I.,swagga,swagger,shawty,asap,ay,bankhead,fr,aye,kuntry,psc,ti,gga,finna,trapp,nigga,forgave,swag,yae,24s,shit,niggas,amusement,dro,chirp,chevys,mayne,goodnight,trappin,partna,dey,homes,100k,swang,bikinis,swinging,sucka,wit,pimpin,wildside,trap,travelin,patna,holla,pc,bruh,betta,dawg,dopeman,folk,polices
TRU,tru,silkk,bou,fedz,limit,cheeze,richmond,boz,calliope,niggas,killas,nigga,ward,soldiers,187,dow,shocker,mia,swamp,motherfuckin,mobbn,motherfucking,muthafuckin,dey,tha,kevin,fuck,soldier,ral,unlady,gangstafied,shit,serv,bitch,foo,bustas,porsha,hoe,taz,deala,dolla,uptown,dopeman,fiends,dank,playa,p,rowdy,dealers,slangin
UGK,institution,84,trill,ugk,bun,swinging,shife,corruptors,swangin,fk,swishas,ohhhhhhhhhhhh,knahmtalkinbout,sweets,bitch,pimpin,mur,innate,eah,kingz,slab,pimp,candy,texas,diggers,erb,sixteens,pa,nigga,hoes,disturbed,confusin,swisha,boppers,ohhhhhh,niggas,gos,compressor,hoe,sable,affair,syrup,plex,chilla,dank,crampin,ridin,execution,fuck,shit
Vanilla Ice,icky,vanilla,fuked,darkman,prozac,unbreakable,published,gail,survivor,puppet,illy,2xs,produced,rosta,rah,shituh,deshay,iceman,revolves,detonator,primal,reapeat,zag,funky,tah,studios,wickedness,ooooo,inc,vanillas,shay,zig,freestylin,tha,fk,ice,normal,satisfaction,bayou,emi,reggae,beachfront,fck,keyboards,rue,programming,engineered,rae,roni,psycho
Young Jeezy,jeezy,jeah,cte,jizzle,getta,nigga,lambos,swag,ay,kno,bandana,goddamned,snowman,trap,erbody,tha,niggas,shawty,muhfkin,rida,survivor,clumsy,da,muhfka,needa,mane,streetz,shit,grind,corporate,87s,yea,pulla,jus,hypnotized,tch,louie,holla,squares,usda,everythang,chevy,luv,stunna,wit,gurl,tryna,fye,dey,dat
2pac,tha,2pac,dayz,outlaw,thug,soulja,outlawz,deathrow,tupac,males,makaveli,niggas,streetz,nigga,overlapping,eyez,brendas,heartz,thuglife,mutha,ballad,fuck,kastro,troublesome,thugz,outlaws,westside,homies,pac,fuckas,enemies,ridah,playa,comrades,motherfuckers,cradle,shit,adversaries,bustas,rearview,behaviour,heeyyy,bitches,hahaha,thuggin,syke,whatz,yaknowhatimsayin,motha,motherfuckin
Blackalicious,dah,gab,blackalicious,orchestrate,lateef,purest,accelerate,prostrate,thoughtlessness,aural,fabulous,elevate,encased,dee,forest,lah,altered,overwhelming,societies,offerings,seeded,reveals,preme,motivate,bended,astrologist,catalyst,concentrate,articles,seeping,di,irate,energy,uses,erupting,calculus,oncoming,fatness,arrow,verbal,gift,inner,restlessness,stifled,heaviness,lipsticks,sedatives,distinctive,mucus,scattering
Casual,casual,hieroglyphics,automobile,cas,snupe,flunked,del,overlordian,shamen,phuck,calamity,pelted,pep,endo,yaseewhatimsayin,standpoint,belted,refreshed,hieros,jon,comp,reasoning,amend,tajai,exceeded,misconstrued,aloof,reluctant,hiero,dat,prowess,promptly,breakbeats,autobiography,muster,jammies,seasoning,array,axes,rattles,eh,releasing,gatt,mi,bitchs,shit,fog,rudely,policies,clowning
Coolio,rrrr,coolio,thevz,mrs,maad,cos,throwdown,mayn,geto,thief,cruisin,casulties,wa,exercise,somebodys,loc,sistas,coz,keenan,voyage,smugglers,babay,letn,cought,conned,criticism,slowly,posed,slippity,diddy,corn,shinin,huckleberry,jones,donald,monstar,beer,nutsac,stix,pixie,kel,wino,compton,homies,fantastic,sumpin,ooh,takes,favour,paradise
Cypress Hill,cypress,que,te,sen,biddy,seeker,como,gatt,en,greenthumb,cuando,tu,por,hill,bong,porque,todo,el,tengo,voy,los,pero,mi,ese,bilingual,aqui,mota,si,illusions,membrane,soy,hummm,nunca,todos,un,estoy,gente,muggs,ahit,dicen,lingo,esta,con,se,sabes,assassins,doughboy,latin,hacer,este
Del Tha Funkee Homosapien,del,hieroglyphics,bombay,dels,phuck,immersed,homosapien,whacha,meadow,unicron,fraudulent,upgrade,ku,hoodz,industy,dozens,ur,associates,nosin,phuckin,hiero,blindness,opio,soopa,landslide,gluttius,swallowers,phucked,emcees,development,funk,fiendish,proto,cm,sums,dr,tajai,feen,mysterious,imbecile,expensive,oakland,enhanced,wannabes,appearances,jeah,splendor,fools,companies,lackluster
Digital Underground,humpty,hump,wussup,quack,packet,underwater,holly,rimes,89,shimmy,guts,colour,cocoa,belongs,funky,meee,ody,oregano,widdit,awright,doggs,humps,funk,packets,wheee,rhymings,ces,blowfish,ooh,nucka,dumpty,circus,punana,gook,iza,shock,shuttle,ooooooooh,diluted,digital,peewee,falsely,doll,groceries,underground,abstinence,barbecued,barring,dab,flo
Domo Genesis,domo,genesis,hodgy,sheeit,musnt,ruffles,greenbacks,rasta,wolf,tings,basic,papers,membership,facelift,kickin,appropriately,gameplay,scathe,maharishi,mayonaisse,homestead,hairlines,decapitator,valeries,signalin,encountering,portioned,laurel,cambell,rileys,hairline,jurassic,salute,fi,loitering,assures,nilly,syd,flubber,clancy,fastballs,vapes,skinnin,scribblin,buzzin,endorphins,exs,rufus,calligraphy,samoans
Dr. Dre,dre,tat,chiggie,kurupt,scheamin,colourblind,daz,sometin,yippy,pleeease,aftermath,chariot,masterplan,dr,dogg,snoop,witta,reschedule,lis,hologram,rbx,somein,muthafuckin,muthafucker,313,gibberish,ackrite,chronic,compton,shit,eazy,timmy,choices,str,motherfuckin,fuck,doggy,nigga,doc,sch,ket,hittman,andan,nutz,blackstreet,niggas,dup,bon,bitch,yank
E-40,alcoholism,ambassador,beotch,vallejo,potnah,mannish,mayne,weedman,wid,40,yola,suga,bootch,rossi,sprinkle,tycoon,walla,fetti,git,hydraulics,earl,ayee,gouda,mossie,sheit,scrill,botch,papered,soil,elroys,thatta,taping,hillside,sic,nigga,pimpin,faulty,turf,gangsterous,ind,oooh,beatch,hort,regulation,hella,carlos,shit,hyphy,batch,mayn
Earl Sweatshirt,psyche,doms,odd,earl,earls,nak,sweatshirt,wolf,bruh,degenerate,migraine,scoffing,trashwang,piggies,netted,ritalin,danced,pendulum,lubricant,hassled,tutor,moonlight,freckles,splattered,stitched,blaring,auctioned,immigrants,errand,fucking,cattle,nahh,troll,witted,bitching,channeling,caking,gluteus,heron,pale,wolves,shouting,miley,autumn,spanking,switchblade,doobies,spliffs,regiment,payment
Eazy-E,eazy,tha,muthaphukkin,compton,nutt,yer,duz,dre,ruthless,muthafucker,ren,nutz,muthafuckers,muthafuckin,cpt,mothafuckaz,eazys,muthaphukka,playaz,doggy,kilo,tah,ket,knocc,hunnie,pranksters,cooky,wooooooo,whatta,alpine,gangsta,gta,scratched,municiple,123,aaaaah,picnics,dapper,merry,64,dogg,suburbian,wordem,indo,thugster,camino,snoop,yella,y,prankstas
Hieroglyphics,hieroglyphics,hiero,del,waitll,blackouts,hieroglyphic,maggie,soweto,oakland,tajai,imperative,remainders,inscription,pep,innovators,imhotep,mega,attendance,vibrators,boundaries,cas,interaction,methane,exercise,historys,inventive,profusely,comparable,emcees,kinetic,intricate,developing,delight,intents,renowned,fatal,stimulate,unseen,retrieve,diplomatic,stereotypical,interlocked,oracles,habitually,flotation,fluttering,dels,rekindling,enrichin,illuminating
Hodgy Beats,hodgy,pasadena,odd,dena,oooo,hb,thrash,apologize,intestines,hypebeast,fevers,bridget,wsup,gecko,grilling,mamis,anyday,mothafucka,unsure,playlist,occur,taj,differ,sized,730,tantrum,ingrained,probley,stinch,cums,toothache,inverted,odder,sayshe,cashew,scured,tylers,kar,continuum,fidgets,beaut,bluffed,palins,grater,fillies,vyron,falsetto,huts,cupid,arrows
Ice Cube,cube,lench,locs,diggi,nya,westside,popos,google,fuck,nigga,bucka,peckin,gangsta,mayne,dow,cos,khop,unleaded,central,clubbin,bitch,wc,mutha,shit,tha,ri,pyroclastic,brainless,niggas,gansta,raider,jinx,bing,tustle,berzerk,bimbos,ruff,siblings,amerikkkas,cubes,muthafuckers,bop,ice,akin,wetcha,oshea,russ,gaffled,motherfuckin,disappearin
Ice-T,syndicate,hijacked,decker,wanta,hardcore,homeboys,hunted,donald,killers,posse,larceny,carries,wheels,softly,409,seventh,central,gee,ice,islam,lapd,fuck,everlast,shit,nigga,hen,emfuck,punks,airtight,nitro,cos,players,motherfuckin,vests,requested,homeboy,ricochet,marquis,woy,riddim,posses,ammo,iceberg,illin,pusher,es,maxin,bodybag,niggas,ultimate
Kendrick Lamar,kendrick,drank,hol,oa,ironic,yawk,maad,compton,woop,rosecrans,baywatch,beeitch,hiiipower,vanity,dive,babysittin,corinthians,lamar,72,gga,poetic,hallucination,chopper,aaliyah,hieroglyphs,pirus,thirst,faded,reconnect,swimming,audemar,coyotes,frightening,vibe,coltrane,pool,sandbox,burr,eiffel,cartoons,promise,canals,resembled,jayceon,relations,alleyways,temptation,kendricks,adhd,brendas
Lil B,basedgod,hilton,nawmean,felonies,yessir,thuggin,bellamy,based,waterfront,wonton,chang,bruh,paris,taken,tiny,goon,finna,namsayin,robber,shouts,bitch,2011,ching,mindset,berkeley,racks,zips,lil,licks,grandeur,toon,mainstream,muthafuckin,chopper,horry,soulja,mane,swag,66,rawest,donald,imma,losers,mayne,spalding,honors,soup,robbing,09,beezy
Macklemore,northwest,letterhead,dependency,unicorns,castle,usa,nana,hiphop,seattle,coyote,ego,xp,romo,hella,sailing,capitol,shlong,humility,thorns,walkman,marker,attachments,privilege,faithful,mp3s,thief,sinking,awesome,14,selfish,thrift,carat,pirate,08,fringe,emos,ceiling,bowie,sexist,moments,universe,danced,consumption,vices,comforting,206,mariners,freaking,cathedral,na
MC Hammer,pray,gaining,momentum,hammer,legit,addams,yonder,headhunter,catwalk,oaktown,stiggity,rewarded,goldie,generations,hyped,hammers,wiggity,bottling,grooving,1s,mutha,sexy,fester,rump,parton,pumps,glory,stories,oakland,boomin,redman,dah,holyfield,savior,dancing,toured,bump,babes,schoolhouse,slippity,cymbals,expirin,composing,biggidy,willll,gto,percolate,bangcock,propping,babeeee
MC Ren,ren,mayday,compton,rocc,villain,coastin,hub,cpt,niggas,mothafuckaz,scientist,ause,nigga,shit,fuck,renll,concepts,rens,believed,hutch,frontline,villian,mothafuckin,ideas,millimeter,ruthless,shack,motherfuckas,thethethe,funky,axin,motherfuckin,mjg,hound,handkerchief,fuckin,bitch,frontier,motherfuckers,carryin,aside,resource,zippin,duce,439,jubee,deceivers,fools,bitches,az
